Dimensione_N,Tempo_BST,Tempo_AVL,Tempo_RBT
2718588,3.1000001854408765e-06,1.619999989088683e-05,3.900000137946336e-06
2983647,3.5000002753804438e-06,1.8050000107905362e-05,4.399999852466863e-06
3274549,3.3999999686784577e-06,1.7500000012660166e-05,4.400000079840538e-06
3593813,3.200000264769187e-06,1.6499999901498086e-05,3.999999989900971e-06
3944206,3.200000264769187e-06,1.7249999928026227e-05,4.099999841855606e-06
4328761,3.1999998100218363e-06,1.6699999832781032e-05,3.999999989900971e-06
4750810,3.3000001167238224e-06,1.6799999912109342e-05,4.099999841855606e-06
5214008,2.599999788799323e-06,1.3000000080864993e-05,3.000000106112566e-06
5722367,2.4000000848900527e-06,1.2200000128359534e-05,2.9000002541579306e-06
6280291,2.4000000848900527e-06,1.204999989568023e-05,2.8000004022032954e-06
6892612,2.4000000848900527e-06,1.2299999980314169e-05,2.9000002541579306e-06
7564633,2.399999630142702e-06,1.2399999832268804e-05,2.7999999474559445e-06
8302175,2.3000002329354174e-06,1.2200000128359534e-05,2.849999873433262e-06
9111627,2.4000000848900527e-06,1.2150000202382216e-05,2.8000004022032954e-06
10000000,2.499999936844688e-06,1.2399999832268804e-05,2.899999344663229e-06
